S_000019.pdb     -13943.061528 kBT
S_000025.pdb     -13173.766482 kBT
S_000030.pdb     -12959.049903 kBT
S_000024.pdb     -12953.371913 kBT
S_000018.pdb     -13138.465583 kBT
S_000026.pdb     -13721.354968 kBT
S_000027.pdb     -12093.069569 kBT
S_000023.pdb     -13294.519629 kBT
S_000022.pdb     -13090.116254 kBT
S_000020.pdb     -12737.930146 kBT
S_000008.pdb     -12829.544006 kBT
S_000009.pdb     -13027.118280 kBT
S_000021.pdb     -11385.687227 kBT
S_000004.pdb     -11139.028964 kBT
S_000010.pdb     -12000.722750 kBT
S_000011.pdb     -13480.621672 kBT
S_000005.pdb     -11879.951622 kBT
S_000013.pdb     -12678.115470 kBT
S_000007.pdb     -12913.181111 kBT
S_000006.pdb     -11872.954910 kBT
S_000012.pdb     -13158.500042 kBT
S_000016.pdb     -13452.329917 kBT
S_000002.pdb     -10778.760135 kBT
S_000003.pdb     -11666.808843 kBT
S_000017.pdb     -14576.361343 kBT
S_000001.pdb     -13034.080576 kBT
S_000015.pdb     -13083.104270 kBT
S_000029.pdb     -12461.188879 kBT
S_000028.pdb     -12616.483816 kBT
S_000014.pdb     -12908.243938 kBT
