S_000019.pdb     -1804.019825 kBT
S_000025.pdb     -1814.158324 kBT
S_000030.pdb     -1793.740171 kBT
S_000024.pdb     -1681.987911 kBT
S_000018.pdb     -1703.979029 kBT
S_000026.pdb     -1786.696690 kBT
S_000027.pdb     -1630.301939 kBT
S_000023.pdb     -1831.979899 kBT
S_000022.pdb     -1837.202867 kBT
S_000020.pdb     -1788.505784 kBT
S_000008.pdb     -1845.139441 kBT
S_000009.pdb     -1740.326939 kBT
S_000021.pdb     -1576.573888 kBT
S_000004.pdb     -1621.665601 kBT
S_000010.pdb     -1476.926876 kBT
S_000011.pdb     -1756.722756 kBT
S_000005.pdb     -1615.954281 kBT
S_000013.pdb     -1674.596561 kBT
S_000007.pdb     -1804.188282 kBT
S_000006.pdb     -1642.597621 kBT
S_000012.pdb     -1854.803488 kBT
S_000016.pdb     -1737.618852 kBT
S_000002.pdb     -1563.773606 kBT
S_000003.pdb     -1634.638981 kBT
S_000017.pdb     -1983.364057 kBT
S_000001.pdb     -1637.601409 kBT
S_000015.pdb     -1793.175227 kBT
S_000029.pdb     -1696.449118 kBT
S_000028.pdb     -1778.097754 kBT
S_000014.pdb     -1792.125121 kBT
