S_000019.pdb     -869.675138 kBT
S_000025.pdb     -845.516257 kBT
S_000030.pdb     -848.081354 kBT
S_000024.pdb     -874.458852 kBT
S_000018.pdb     -860.696128 kBT
S_000026.pdb     -908.768977 kBT
S_000027.pdb     -830.119174 kBT
S_000023.pdb     -876.540743 kBT
S_000022.pdb     -878.586503 kBT
S_000020.pdb     -851.006153 kBT
S_000008.pdb     -848.058267 kBT
S_000009.pdb     -856.366908 kBT
S_000021.pdb     -780.515012 kBT
S_000004.pdb     -823.950466 kBT
S_000010.pdb     -816.146042 kBT
S_000011.pdb     -832.656785 kBT
S_000005.pdb     -805.749504 kBT
S_000013.pdb     -839.004792 kBT
S_000007.pdb     -840.418262 kBT
S_000006.pdb     -845.452491 kBT
S_000012.pdb     -919.429158 kBT
S_000016.pdb     -878.721911 kBT
S_000002.pdb     -786.892008 kBT
S_000003.pdb     -785.781297 kBT
S_000017.pdb     -940.980710 kBT
S_000001.pdb     -833.020921 kBT
S_000015.pdb     -906.998285 kBT
S_000029.pdb     -848.156354 kBT
S_000028.pdb     -853.901076 kBT
S_000014.pdb     -871.916058 kBT
