S_000046.pdb     -908.914390 kBT
S_000052.pdb     -865.933266 kBT
S_000085.pdb     -948.867152 kBT
S_000091.pdb     -939.221153 kBT
S_000090.pdb     -899.153887 kBT
S_000084.pdb     -918.300484 kBT
S_000053.pdb     -870.113849 kBT
S_000047.pdb     -938.592908 kBT
S_000079.pdb     -894.501758 kBT
S_000051.pdb     -846.860503 kBT
S_000045.pdb     -841.255737 kBT
S_000092.pdb     -839.506729 kBT
S_000086.pdb     -914.589252 kBT
S_000087.pdb     -839.452987 kBT
S_000093.pdb     -800.242802 kBT
S_000044.pdb     -905.396764 kBT
S_000050.pdb     -798.530969 kBT
S_000078.pdb     -927.999596 kBT
S_000054.pdb     -709.282382 kBT
S_000040.pdb     -857.641178 kBT
S_000068.pdb     -800.478051 kBT
S_000097.pdb     -844.789407 kBT
S_000083.pdb     -854.633661 kBT
S_000082.pdb     -877.054524 kBT
S_000096.pdb     -868.717063 kBT
S_000069.pdb     -832.546201 kBT
S_000041.pdb     -820.636545 kBT
S_000055.pdb     -952.560985 kBT
S_000043.pdb     -875.331131 kBT
S_000057.pdb     -727.765271 kBT
S_000080.pdb     -863.356528 kBT
S_000094.pdb     -929.024130 kBT
S_000095.pdb     -863.094768 kBT
S_000081.pdb     -873.621277 kBT
S_000056.pdb     -887.559706 kBT
S_000042.pdb     -871.190885 kBT
S_000019.pdb     -785.820664 kBT
S_000025.pdb     -828.742793 kBT
S_000031.pdb     -879.496186 kBT
S_000030.pdb     -934.869513 kBT
S_000024.pdb     -908.134237 kBT
S_000018.pdb     -947.335685 kBT
S_000032.pdb     -918.573780 kBT
S_000026.pdb     -816.019333 kBT
S_000027.pdb     -780.014582 kBT
S_000033.pdb     -821.096701 kBT
S_000037.pdb     -875.322832 kBT
S_000023.pdb     -1022.591957 kBT
S_000022.pdb     -906.680752 kBT
S_000036.pdb     -801.691167 kBT
S_000020.pdb     -814.146818 kBT
S_000034.pdb     -797.770633 kBT
S_000008.pdb     -897.132786 kBT
S_000009.pdb     -889.743433 kBT
S_000035.pdb     -983.546230 kBT
S_000021.pdb     -863.154332 kBT
S_000038.pdb     -984.628884 kBT
S_000004.pdb     -890.192470 kBT
S_000010.pdb     -970.002297 kBT
S_000011.pdb     -730.000698 kBT
S_000005.pdb     -863.746804 kBT
S_000039.pdb     -920.425751 kBT
S_000013.pdb     -775.775524 kBT
S_000007.pdb     -870.651964 kBT
S_000006.pdb     -792.642147 kBT
S_000012.pdb     -868.286596 kBT
S_000016.pdb     -1018.167306 kBT
S_000002.pdb     -865.894451 kBT
S_000003.pdb     -865.314235 kBT
S_000017.pdb     -866.212926 kBT
S_000001.pdb     -897.099812 kBT
S_000015.pdb     -933.418413 kBT
S_000029.pdb     -1022.337676 kBT
S_000028.pdb     -955.427511 kBT
S_000014.pdb     -954.836488 kBT
S_000067.pdb     -766.518248 kBT
S_000073.pdb     -996.921398 kBT
S_000098.pdb     -968.826649 kBT
S_000099.pdb     -856.149843 kBT
S_000072.pdb     -965.179760 kBT
S_000066.pdb     -990.867471 kBT
S_000058.pdb     -873.138820 kBT
S_000070.pdb     -852.896701 kBT
S_000064.pdb     -747.635018 kBT
S_000065.pdb     -980.938220 kBT
S_000071.pdb     -878.071612 kBT
S_000059.pdb     -897.191420 kBT
S_000075.pdb     -885.477039 kBT
S_000061.pdb     -977.778799 kBT
S_000049.pdb     -906.232380 kBT
S_000048.pdb     -888.412372 kBT
S_000060.pdb     -943.900261 kBT
S_000074.pdb     -852.261467 kBT
S_000100.pdb     -927.043898 kBT
S_000062.pdb     -817.537631 kBT
S_000076.pdb     -847.848759 kBT
S_000089.pdb     -758.903370 kBT
S_000088.pdb     -1058.860572 kBT
S_000077.pdb     -768.921711 kBT
S_000063.pdb     -889.710005 kBT
