pdb,cgRNASP[kBT],cgRNASP-P[kBT],cgRNASP-PC[kBT],rsRNASP[kBT],RNA_BRiQ,DFIRE_RNA
S_000001.pdb,-427.607604,-897.099812,-255.562945,-5806.704522,-46.9752,-41120.804254
S_000002.pdb,-419.467436,-865.894451,-241.455295,-5874.908506,16.247,-42944.869696
S_000003.pdb,-394.910241,-865.314235,-226.813038,-5884.580508,-0.64477,-40749.162951
S_000004.pdb,-405.748232,-890.19247,-243.824772,-5715.711969,-36.4656,-42809.954869
S_000005.pdb,-409.00568,-863.746804,-236.438784,-5613.471294,-40.9457,-39597.271969
S_000006.pdb,-343.096094,-792.642147,-225.72605,-5088.169195,-43.8929,-39209.903818
S_000007.pdb,-417.659146,-870.651964,-230.1064,-6211.620178,-41.2156,-41645.950552
S_000008.pdb,-400.865948,-897.132786,-236.235767,-6295.963718,-36.3285,-42362.395657
S_000009.pdb,-410.859255,-889.743433,-245.895109,-6281.975904,-52.3998,-42372.196941
S_000010.pdb,-431.480801,-970.002297,-258.84381,-6611.484369,-61.766,-43483.231708
S_000011.pdb,-397.72609,-730.000698,-225.506606,-5523.747881,30.8999,-39798.664742
S_000012.pdb,-406.786862,-868.286596,-241.568781,-6128.597725,-20.9553,-41784.020299
S_000013.pdb,-358.029809,-775.775524,-223.166599,-5359.5095,-32.8428,-39852.921259
S_000014.pdb,-422.927515,-954.836488,-256.214207,-6349.066517,-55.8089,-43536.145327
S_000015.pdb,-436.622251,-933.418413,-250.900471,-6026.940072,-23.4874,-43180.622292
S_000016.pdb,-397.599751,-1018.167306,-253.484954,-6151.034463,-7.81734,-45467.345729
S_000017.pdb,-439.427145,-866.212926,-252.59924,-5957.242709,7.23496,-42302.240272
S_000018.pdb,-420.682341,-947.335685,-252.501323,-5647.03676,-21.4693,-41246.466508
S_000019.pdb,-350.135144,-785.820664,-215.106958,-4802.146062,-44.5341,-37171.065567
S_000020.pdb,-386.309641,-814.146818,-236.228845,-5922.188029,-59.0391,-41207.913129
S_000021.pdb,-388.880634,-863.154332,-239.980301,-5522.556064,-40.401,-41707.148544
S_000022.pdb,-387.908592,-906.680752,-244.804934,-5438.327507,23.7866,-40298.142661
S_000023.pdb,-466.596806,-1022.591957,-284.963789,-6305.987355,-17.8837,-44649.053189
S_000024.pdb,-389.889961,-908.134237,-244.0945,-5772.913018,-20.5595,-41711.986245
S_000025.pdb,-411.533627,-828.742793,-244.993667,-5528.504651,-14.2635,-40438.292749
S_000026.pdb,-405.466777,-816.019333,-213.458296,-5866.309998,-44.806,-41853.236908
S_000027.pdb,-382.328971,-780.014582,-229.73217,-5597.213897,-63.623,-41051.481733
S_000028.pdb,-424.208945,-955.427511,-263.232274,-6017.688046,-39.5636,-42099.92344
S_000029.pdb,-483.025919,-1022.337676,-265.809205,-7208.175425,-68.7952,-45775.193015
S_000030.pdb,-444.223137,-934.869513,-251.348533,-5922.104542,75.1793,-42019.352565
S_000031.pdb,-389.315764,-879.496186,-230.105716,-5519.027356,-31.2472,-42817.818182
S_000032.pdb,-397.11326,-918.57378,-239.394265,-5395.689971,-23.8782,-42395.681781
S_000033.pdb,-375.100696,-821.096701,-240.898412,-5490.354056,12.4253,-39252.740672
S_000034.pdb,-393.786143,-797.770633,-237.138646,-5827.20261,-32.2839,-42007.413826
S_000035.pdb,-456.416586,-983.54623,-261.255934,-5485.154761,103.726,-42832.198483
S_000036.pdb,-364.017155,-801.691167,-224.884592,-5360.671327,-21.8795,-39507.726414
S_000037.pdb,-404.324895,-875.322832,-246.712464,-5815.453056,-27.6755,-41570.114618
S_000038.pdb,-390.841792,-984.628884,-239.71864,-6078.688719,-36.4941,-42480.096846
S_000039.pdb,-413.168865,-920.425751,-262.545169,-5573.101932,-12.4102,-41025.85771
S_000040.pdb,-397.751606,-857.641178,-239.037975,-5272.747157,-0.983747,-40476.744478
S_000041.pdb,-409.171254,-820.636545,-242.980852,-5446.205398,6.81624,-40597.694651
S_000042.pdb,-407.259533,-871.190885,-247.618033,-5621.157156,-19.3613,-40684.238858
S_000043.pdb,-387.106416,-875.331131,-244.107807,-5273.638974,19.2109,-41058.014525
S_000044.pdb,-430.906962,-905.396764,-236.999943,-6610.63116,-59.6869,-44758.943608
S_000045.pdb,-412.363924,-841.255737,-246.386591,-5297.505334,-42.2181,-42355.989435
S_000046.pdb,-404.387994,-908.91439,-244.024959,-5722.458992,29.8873,-42898.956157
S_000047.pdb,-417.914173,-938.592908,-243.244202,-5481.487118,-26.194,-41164.656408
S_000048.pdb,-384.473166,-888.412372,-251.294572,-5607.291546,-15.7413,-42625.474786
S_000049.pdb,-426.001524,-906.23238,-246.678273,-5900.204763,6.9127,-43286.605039
S_000050.pdb,-365.295389,-798.530969,-225.477865,-5652.027525,1.83272,-40928.889091
S_000051.pdb,-386.743392,-846.860503,-232.000818,-6206.781447,-38.8066,-42099.959475
S_000052.pdb,-405.240839,-865.933266,-239.090543,-5307.826963,-43.8306,-40807.902575
S_000053.pdb,-407.945885,-870.113849,-242.836195,-5343.467586,-2.25375,-41033.817905
S_000054.pdb,-382.580726,-709.282382,-223.956242,-5826.471086,-10.856,-40052.056974
S_000055.pdb,-401.236469,-952.560985,-247.836077,-5292.746994,-2.63588,-40683.536522
S_000056.pdb,-400.281948,-887.559706,-233.951169,-5666.012539,-14.5586,-41622.452154
S_000057.pdb,-377.613699,-727.765271,-218.595289,-5613.946223,-44.1676,-40275.547852
S_000058.pdb,-405.755218,-873.13882,-249.550003,-5760.074969,-5.22135,-42504.984855
S_000059.pdb,-416.961489,-897.19142,-263.870753,-5938.636398,-54.8258,-41879.198484
S_000060.pdb,-417.652859,-943.900261,-246.804764,-5799.923559,-19.2563,-42246.731289
S_000061.pdb,-429.032225,-977.778799,-259.334366,-5842.076606,-35.4269,-44348.814501
S_000062.pdb,-376.403344,-817.537631,-230.661034,-5302.042878,68.5633,-40194.838717
S_000063.pdb,-433.212382,-889.710005,-253.375121,-5630.444642,-67.5907,-43701.474854
S_000064.pdb,-381.850866,-747.635018,-220.951852,-5044.747813,-25.8584,-39406.470147
S_000065.pdb,-433.433544,-980.93822,-259.329816,-6019.643719,-67.0028,-42977.206925
S_000066.pdb,-423.932586,-990.867471,-254.897481,-6295.313824,-45.6677,-43453.232262
S_000067.pdb,-369.716616,-766.518248,-225.51033,-4969.60079,-25.1211,-38959.865994
S_000068.pdb,-359.002559,-800.478051,-217.326887,-5170.104044,3.62402,-40421.901418
S_000069.pdb,-414.301333,-832.546201,-240.757803,-5800.052291,1.7567,-42299.244091
S_000070.pdb,-373.2292,-852.896701,-224.791367,-5541.794581,-24.7796,-40616.100544
S_000071.pdb,-393.912033,-878.071612,-244.716104,-5474.948981,-1.54258,-40865.624583
S_000072.pdb,-437.238782,-965.17976,-243.879471,-6405.283145,-67.1536,-44008.433999
S_000073.pdb,-443.261545,-996.921398,-251.598244,-5747.024847,-55.951,-42213.120812
S_000074.pdb,-411.033334,-852.261467,-237.486344,-6079.029091,-63.2108,-43100.591504
S_000075.pdb,-410.281989,-885.477039,-243.61002,-5965.040433,-30.2298,-42459.995269
S_000076.pdb,-424.662649,-847.848759,-241.769842,-6163.715212,2.9506,-42309.067481
S_000077.pdb,-349.238085,-768.921711,-228.162552,-5332.800623,4.82859,-40906.789496
S_000078.pdb,-433.618796,-927.999596,-251.268383,-6020.546958,-48.1241,-42676.279507
S_000079.pdb,-392.188604,-894.501758,-238.375095,-5827.567442,-46.0968,-42850.389517
