S_000046.pdb     -404.387994 kBT
S_000052.pdb     -405.240839 kBT
S_000085.pdb     -424.870717 kBT
S_000091.pdb     -438.407161 kBT
S_000090.pdb     -409.365155 kBT
S_000084.pdb     -433.516382 kBT
S_000053.pdb     -407.945885 kBT
S_000047.pdb     -417.914173 kBT
S_000079.pdb     -392.188604 kBT
S_000051.pdb     -386.743392 kBT
S_000045.pdb     -412.363924 kBT
S_000092.pdb     -420.205569 kBT
S_000086.pdb     -387.135539 kBT
S_000087.pdb     -430.565721 kBT
S_000093.pdb     -371.766804 kBT
S_000044.pdb     -430.906962 kBT
S_000050.pdb     -365.295389 kBT
S_000078.pdb     -433.618796 kBT
S_000054.pdb     -382.580726 kBT
S_000040.pdb     -397.751606 kBT
S_000068.pdb     -359.002559 kBT
S_000097.pdb     -395.120737 kBT
S_000083.pdb     -410.371627 kBT
S_000082.pdb     -411.577568 kBT
S_000096.pdb     -392.772433 kBT
S_000069.pdb     -414.301333 kBT
S_000041.pdb     -409.171254 kBT
S_000055.pdb     -401.236469 kBT
S_000043.pdb     -387.106416 kBT
S_000057.pdb     -377.613699 kBT
S_000080.pdb     -428.445571 kBT
S_000094.pdb     -415.611368 kBT
S_000095.pdb     -419.165948 kBT
S_000081.pdb     -394.063381 kBT
S_000056.pdb     -400.281948 kBT
S_000042.pdb     -407.259533 kBT
S_000019.pdb     -350.135144 kBT
S_000025.pdb     -411.533627 kBT
S_000031.pdb     -389.315764 kBT
S_000030.pdb     -444.223137 kBT
S_000024.pdb     -389.889961 kBT
S_000018.pdb     -420.682341 kBT
S_000032.pdb     -397.113260 kBT
S_000026.pdb     -405.466777 kBT
S_000027.pdb     -382.328971 kBT
S_000033.pdb     -375.100696 kBT
S_000037.pdb     -404.324895 kBT
S_000023.pdb     -466.596806 kBT
S_000022.pdb     -387.908592 kBT
S_000036.pdb     -364.017155 kBT
S_000020.pdb     -386.309641 kBT
S_000034.pdb     -393.786143 kBT
S_000008.pdb     -400.865948 kBT
S_000009.pdb     -410.859255 kBT
S_000035.pdb     -456.416586 kBT
S_000021.pdb     -388.880634 kBT
S_000038.pdb     -390.841792 kBT
S_000004.pdb     -405.748232 kBT
S_000010.pdb     -431.480801 kBT
S_000011.pdb     -397.726090 kBT
S_000005.pdb     -409.005680 kBT
S_000039.pdb     -413.168865 kBT
S_000013.pdb     -358.029809 kBT
S_000007.pdb     -417.659146 kBT
S_000006.pdb     -343.096094 kBT
S_000012.pdb     -406.786862 kBT
S_000016.pdb     -397.599751 kBT
S_000002.pdb     -419.467436 kBT
S_000003.pdb     -394.910241 kBT
S_000017.pdb     -439.427145 kBT
S_000001.pdb     -427.607604 kBT
S_000015.pdb     -436.622251 kBT
S_000029.pdb     -483.025919 kBT
S_000028.pdb     -424.208945 kBT
S_000014.pdb     -422.927515 kBT
S_000067.pdb     -369.716616 kBT
S_000073.pdb     -443.261545 kBT
S_000098.pdb     -406.342850 kBT
S_000099.pdb     -435.544614 kBT
S_000072.pdb     -437.238782 kBT
S_000066.pdb     -423.932586 kBT
S_000058.pdb     -405.755218 kBT
S_000070.pdb     -373.229200 kBT
S_000064.pdb     -381.850866 kBT
S_000065.pdb     -433.433544 kBT
S_000071.pdb     -393.912033 kBT
S_000059.pdb     -416.961489 kBT
S_000075.pdb     -410.281989 kBT
S_000061.pdb     -429.032225 kBT
S_000049.pdb     -426.001524 kBT
S_000048.pdb     -384.473166 kBT
S_000060.pdb     -417.652859 kBT
S_000074.pdb     -411.033334 kBT
S_000100.pdb     -416.439276 kBT
S_000062.pdb     -376.403344 kBT
S_000076.pdb     -424.662649 kBT
S_000089.pdb     -395.716410 kBT
S_000088.pdb     -465.898768 kBT
S_000077.pdb     -349.238085 kBT
S_000063.pdb     -433.212382 kBT
